Distance,millimeter,mm,nautical mile,M,0.0000005399568035,0
Distance,millimeter,mm,nanometer,nm,1000000,0
Distance,micrometer,µm,kilometer,km,0.000000001,0
Distance,micrometer,µm,hectometer,hm,0.00000001,0
Distance,micrometer,µm,dekameter,dm,0.0000001,0
Distance,micrometer,µm,meter,m,0.000001,0
Distance,micrometer,µm,decimeter,,0.00001,0
Distance,micrometer,µm,centimeter,cm,0.0001,0
Distance,micrometer,µm,millimeter,mm,0.001,0
Distance,micrometer,µm,mile,mi,0.0000000006213711922,0
Distance,micrometer,µm,furlong,,0.00000000497097,0
Distance,micrometer,µm,yard,yd,0.00000109361,0
Distance,micrometer,µm,foot,ft,0.00000328083,0
Distance,micrometer,µm,inch,in,0.00003936996,0
Distance,micrometer,µm,mil,mil,0.039370078,0
Distance,micrometer,µm,parsec,pc,3.240782847E-23,0
Distance,micrometer,µm,lightyear,,1.057023456E-22,0
Distance,micrometer,µm,nautical mile,M,0.0000000005399568035,0
Distance,micrometer,µm,nanometer,nm,1000,0
Distance,mile,mi,kilometer,km,1.609344,0
Distance,mile,mi,hectometer,hm,16.09344,0
Distance,mile,mi,dekameter,dm,160.9344,0
Distance,mile,mi,meter,m,1609.344,0
Distance,mile,mi,decimeter,,16093.44,0
Distance,mile,mi,centimeter,cm,160934.4,0
Distance,mile,mi,millimeter,mm,1609344,0
Distance,mile,mi,micrometer,µm,1609344000,0
Distance,mile,mi,furlong,,8,0
Distance,mile,mi,yard,yd,1760,0
Distance,mile,mi,foot,ft,5280,0
Distance,mile,mi,inch,in,63360,0
Distance,mile,mi,mil,mil,63360000,0
Distance,mile,mi,parsec,pc,5.21553443E-14,0
Distance,mile,mi,lightyear,,1.701114356E-13,0
Distance,mile,mi,nautical mile,M,0.868974087,0
Distance,mile,mi,nanometer,nm,1609344000000,0
Distance,furlong,,kilometer,km,0.201167981,0
Distance,furlong,,hectometer,hm,2.01168,0
Distance,furlong,,dekameter,dm,20.1168,0
Distance,furlong,,meter,m,201.168,0
Distance,furlong,,decimeter,,2011.68,0
Distance,furlong,,centimeter,cm,20116.8,0
Distance,furlong,,millimeter,mm,201168,0
Distance,furlong,,micrometer,µm,201168000,0
Distance,furlong,,mile,mi,0.125,0
Distance,furlong,,yard,yd,220,0
Distance,furlong,,foot,ft,660,0
Distance,furlong,,inch,in,7920,0
Distance,furlong,,mil,mil,7920000,0
Distance,furlong,,parsec,pc,6.519417432E-15,0
Distance,furlong,,lightyear,,2.126392748E-14,0
Distance,furlong,,nautical mile,M,0.10862176,0
Distance,furlong,,nanometer,nm,201167981300,0
Distance,yard,yd,kilometer,km,0.0009144027578,0
Distance,yard,yd,hectometer,hm,0.009144,0
Distance,yard,yd,dekameter,dm,0.09144,0
Distance,yard,yd,meter,m,0.9144,0
Distance,yard,yd,decimeter,,9.144,0
Distance,yard,yd,centimeter,cm,91.44,0
Distance,yard,yd,millimeter,mm,914.4,0
Distance,yard,yd,micrometer,µm,914400,0
Distance,yard,yd,mile,mi,0.0005681818182,0
Distance,yard,yd,furlong,,0.004545454545,0
Distance,yard,yd,foot,ft,3,0
Distance,yard,yd,inch,in,36,0
Distance,yard,yd,mil,mil,36000,0
Distance,yard,yd,parsec,pc,2.963380773E-17,0
Distance,yard,yd,lightyear,,9.665451631E-17,0
Distance,yard,yd,nautical mile,M,0.0004937379902,0
Distance,yard,yd,nanometer,nm,914400000,0
Distance,foot,ft,kilometer,km,0.0003048009193,0
Distance,foot,ft,hectometer,hm,0.003048,0
Distance,foot,ft,dekameter,dm,0.03048,0
Distance,foot,ft,meter,m,0.3048,0
Distance,foot,ft,decimeter,,3.048,0
Distance,foot,ft,centimeter,cm,30.48,0
Distance,foot,ft,millimeter,mm,304.8,0
Distance,foot,ft,micrometer,µm,304800,0
Distance,foot,ft,mile,mi,0.0001893939394,0
Distance,foot,ft,furlong,,0.001515151515,0
Distance,foot,ft,yard,yd,0.3333333333,0
Distance,foot,ft,inch,in,12,0
Distance,foot,ft,mil,mil,12000,0
Distance,foot,ft,parsec,pc,9.87793591E-18,0
Distance,foot,ft,lightyear,,3.22181721E-17,0
Distance,foot,ft,nautical mile,M,0.0001645784256,0
Distance,foot,ft,nanometer,nm,304800000,0
Distance,inch,in,kilometer,km,0.0000254,0
Distance,inch,in,hectometer,hm,0.000254,0
Distance,inch,in,dekameter,dm,0.00254,0
Distance,inch,in,meter,m,0.0254,0
Distance,inch,in,decimeter,,0.254,0
Distance,inch,in,centimeter,cm,2.54,0
Distance,inch,in,millimeter,mm,25.4,0
Distance,inch,in,micrometer,µm,25400,0
Distance,inch,in,mile,mi,0.00001578282828,0
Distance,inch,in,furlong,,0.0001262626263,0
Distance,inch,in,yard,yd,0.0277777777,0
Distance,inch,in,foot,ft,0.08333333333,0
Distance,inch,in,mil,mil,1000,0
Distance,inch,in,parsec,pc,8.231588432E-19,0
Distance,inch,in,lightyear,,2.684839578E-18,0
Distance,inch,in,nautical mile,M,0.0000137148688,0
Distance,inch,in,nanometer,nm,25400000,0
Distance,mil,mil,kilometer,km,0.0000000254,0
Distance,mil,mil,hectometer,hm,0.000000254,0
Distance,mil,mil,dekameter,dm,0.00000254,0
Distance,mil,mil,meter,m,0.0000254,0
Distance,mil,mil,decimeter,,0.000254,0
Distance,mil,mil,centimeter,cm,0.00254,0
Distance,mil,mil,millimeter,mm,0.0254,0
Distance,mil,mil,micrometer,µm,25.4,0
Distance,mil,mil,mile,mi,0.00000001578282828,0
Distance,mil,mil,furlong,,0.0000001262626263,0
